period,series,series_description,value,units
2017-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",52.5,$/BBL
2017-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),54.87,$/BBL
2017-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",53.47,$/BBL
2017-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),51.59,$/BBL
2017-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",49.33,$/BBL
2017-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),52.31,$/BBL
2017-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",51.06,$/BBL
2017-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),50.33,$/BBL
2017-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",48.48,$/BBL
2017-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),46.37,$/BBL
2017-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",45.18,$/BBL
2017-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),48.48,$/BBL
2017-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",46.63,$/BBL
2017-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),51.7,$/BBL
2017-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",48.04,$/BBL
2017-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),56.15,$/BBL
2017-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",49.82,$/BBL
2017-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),57.51,$/BBL
2017-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",51.58,$/BBL
2017-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),62.71,$/BBL
2017-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",56.64,$/BBL
2017-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),64.37,$/BBL
2017-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",57.88,$/BBL
2018-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),69.08,$/BBL
2018-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",63.7,$/BBL
2018-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),65.32,$/BBL
2018-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",62.23,$/BBL
2018-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),66.02,$/BBL
2018-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",62.73,$/BBL
2018-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),72.11,$/BBL
2018-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",66.25,$/BBL
2018-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),76.98,$/BBL
2018-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",69.98,$/BBL
2018-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),74.41,$/BBL
2018-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",67.87,$/BBL
2018-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),74.25,$/BBL
2018-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",70.98,$/BBL
2018-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),72.53,$/BBL
2018-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",68.06,$/BBL
2018-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),78.89,$/BBL
2018-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",70.23,$/BBL
2018-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),81.03,$/BBL
2018-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",70.75,$/BBL
2018-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),64.75,$/BBL
2018-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",56.96,$/BBL
2018-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),57.36,$/BBL
2018-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",49.52,$/BBL
2019-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),59.41,$/BBL
2019-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",51.38,$/BBL
2019-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),63.96,$/BBL
2019-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",54.95,$/BBL
2019-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),66.14,$/BBL
2019-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",58.15,$/BBL
2019-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),71.23,$/BBL
2019-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",63.86,$/BBL
2019-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),71.32,$/BBL
2019-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",60.83,$/BBL
2019-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),64.22,$/BBL
2019-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",54.66,$/BBL
2019-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),63.92,$/BBL
2019-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",57.35,$/BBL
2019-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),59.04,$/BBL
2019-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",54.81,$/BBL
2019-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),62.83,$/BBL
2019-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",56.95,$/BBL
2019-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),59.71,$/BBL
2019-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",53.96,$/BBL
2019-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),63.21,$/BBL
2019-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",57.03,$/BBL
2019-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),67.31,$/BBL
2019-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",59.88,$/BBL
2020-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),63.65,$/BBL
2020-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",57.52,$/BBL
2020-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),55.66,$/BBL
2020-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",50.54,$/BBL
2020-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),32.01,$/BBL
2020-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",29.21,$/BBL
2020-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),18.38,$/BBL
2020-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",16.55,$/BBL
2020-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),29.38,$/BBL
2020-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",28.56,$/BBL
2020-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),40.27,$/BBL
2020-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",38.31,$/BBL
2020-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),43.24,$/BBL
2020-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",40.71,$/BBL
2020-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),44.74,$/BBL
2020-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",42.34,$/BBL
2020-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),40.91,$/BBL
2020-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",39.63,$/BBL
2020-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),40.19,$/BBL
2020-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",39.4,$/BBL
2020-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),42.69,$/BBL
